Id,SalePrice
1461,142492.39750221098
1462,159778.75635435185
1463,194753.60090661712
1464,205915.52972523271
1465,190994.98321791456
1466,187847.2791023314
1467,187704.60307485677
1468,181985.15422483205
1469,186166.6613697221
1470,134460.443617021
1471,198833.91979282215
1472,119274.84679149163
1473,120250.68562437163
1474,156262.59920509218
1475,126010.71204478314
1476,361790.2052415948
1477,265128.7931378159
1478,322876.9551114607
1479,320794.8522870284
1480,519330.94975429535
1481,310427.46215372655
1482,203764.58013632227
1483,177133.31774014042
1484,166837.2833793151
1485,184425.14708650843
1486,208361.81946677
1487,318777.24117095664
1488,258349.32089459087
1489,206962.03958876428
1490,243494.92217436543
1491,205160.02757047155
1492,104176.09831149339
1493,181622.32029116637
1494,293784.73556974356
1495,288589.4145222048
1496,233425.16928698999
1497,205902.47826486293
1498,177438.32897811453
1499,182934.8279061525
1500,182015.87518838438
1501,206437.58041532242
1502,180846.89365699815
1503,289993.9052255038
1504,245704.32014524195
1505,229210.24379684936
1506,217765.83654872415
1507,261690.5823137568
1508,207228.08603023124
1509,165304.4958449035
1510,150208.46327688862
1511,147168.2137367465
1512,176744.33672664847
1513,148042.8160523185
1514,219507.99205614952
1515,230837.77003728598
1516,166686.87599236713
1517,160332.78322169583
1518,142860.35359979616
1519,251309.33540613434
1520,134312.42386653318
1521,138068.72992618388
1522,167551.36512070504
1523,126100.0909594658
1524,125182.2105690277
1525,137903.11543283027
1526,118835.12157388347
1527,128826.01972608779
1528,149483.56086426182
1529,146473.36307720235
1530,192348.62413726552
1531,113856.5134128421
1532,101493.79195325969
1533,154141.9682664839
1534,136762.6925368983
1535,185324.55638203758
1536,120206.3487586038
1537,113533.47564922812
1538,177832.95216797467
1539,210084.40389931452
1540,123900.96013618894
1541,148300.39287963603
1542,149907.82271210593
1543,212886.7997689667
1544,100532.8505412226
1545,125255.8897321131
1546,146542.21258240566
1547,141435.22107334458
1548,134981.91482693644
1549,137949.16028843686
1550,142315.35931904634
1551,107646.90904291341
1552,156908.08109598016
1553,156808.58595172202
1554,127529.93640704102
1555,159626.49335830417
1556,110701.23836936113
1557,116452.83723310924
1558,134358.01437587486
1559,103347.33100477348
1560,133910.84646217077
1561,213763.42075572922
1562,141669.15783938402
1563,125435.37373802101
1564,167977.44415033603
1565,159033.592082882
1566,251495.10782988765
1567,93508.46195934847
1568,236894.38089639047
1569,182058.93786192397
1570,145320.8115308977
1571,128942.98549272669
1572,150645.31038866504
1573,239747.5167650899
1574,135346.6003380908
1575,245711.85437438497
1576,256371.1969964067
1577,199655.3121825604
1578,147744.12176038427
1579,155228.77120142287
1580,205884.54464317267
1581,164326.19274825367
1582,139977.48597434434
1583,326595.8744814248
1584,235990.09550845262
1585,147287.9200447924
1586,116792.41172515762
1587,117094.41438905771
1588,146999.29408558115
1589,129067.30164486305
1590,141224.45690674728
1591,114238.74500360672
1592,138785.13286773238
1593,128092.2251315451
1594,163516.80931424635
1595,122763.76995092253
1596,258833.57743750993
1597,189553.6128713933
1598,202457.70425005144
1599,178190.08492576092
1600,171253.236538267
1601,87792.74676961025
1602,131782.5327132896
1603,96599.84484148814
1604,258334.421789859
1605,248714.0446906021
1606,169933.91920278882
1607,249166.50549330018
1608,236917.86254670544
1609,194648.8977278731
1610,187947.25419738173
1611,147066.76258028566
1612,185115.97867723455
1613,180150.9319550346
1614,133055.18047989844
1615,112989.49268000366
1616,99692.05314649208
1617,116819.21246081822
1618,134270.15841002215
1619,149672.4639398501
1620,224333.58495590283
1621,156654.322461111
1622,155990.48921224536
1623,304462.47494362295
1624,228595.78580234246
1625,134879.32153212218
1626,181504.88001837916
1627,203008.9594170795
1628,266591.8711683834
1629,181039.31169837326
1630,387276.0109260426
1631,209285.3748680895
1632,225493.10491488114
1633,178388.420160971
1634,198714.25599658454
1635,194959.54289341354
1636,153992.21240837555
1637,205616.92377061574
1638,205960.01714665038
1639,185044.2433664823
1640,254879.17130680248
1641,175823.08849218354
1642,252148.1057186687
1643,234671.3485928338
1644,245462.19503447105
1645,209844.48054126312
1646,163412.3546729974
1647,160907.1184764254
1648,139695.90026841732
1649,152645.81676875715
1650,132294.74416478092
1651,145793.9716503272
1652,124798.5197478794
1653,128165.11104416914
1654,155700.88294176565
1655,149192.8878753149
1656,149723.53101296612
1657,156758.94454691888
1658,151716.16793926878
1659,128438.64541077956
1660,162318.39532602488
1661,453204.65986473934
1662,377815.4118781436
1663,401208.6290398158
1664,555854.1673251888
1665,345755.5965794093
1666,366438.4557013032
1667,352359.97208800615
1668,355545.42890302563
1669,300766.201054355
1670,374098.9790446941
1671,294202.2823289085
1672,510854.5948878369
1673,290059.5884566545
1674,267113.62582857464
1675,188253.60635117878
1676,197331.66463037787
1677,213468.96640521786
1678,533841.3550563782
1679,402611.3315448367
1680,328803.90105358814
1681,265336.52162096323
1682,314728.7493783798
1683,180170.99267086157
1684,180994.79983236888
1685,184844.91547450869
1686,167891.77183111553
1687,176128.96459055785
1688,200624.2560292352
1689,200589.43997514842
1690,201563.22421084522
1691,189941.21722139287
1692,266652.6209313761
1693,170756.2359732361
1694,193659.507575272
