Id,SalePrice
1461,135000
1462,82500
1463,181000
1464,189000
1465,212000
1466,181000
1467,194500
1468,181000
1469,147000
1470,82500
1471,196000
1472,125000
1473,89500
1474,148500
1475,147000
1476,320000
1477,250000
1478,205000
1479,320000
1480,466500
1481,260000
1482,189000
1483,181000
1484,192500
1485,180000
1486,222500
1487,250000
1488,235128
1489,250580
1490,185000
1491,213500
1492,108000
1493,181000
1494,250000
1495,213000
1496,187500
1497,175500
1498,173733
1499,130000
1500,173733
1501,177000
1502,173000
1503,236500
1504,210000
1505,210000
1506,190000
1507,260000
1508,143000
1509,129000
1510,155000
1511,152000
1512,167900
1513,190000
1514,119000
1515,220000
1516,143000
1517,187500
1518,180500
1519,220000
1520,142000
1521,142000
1522,155000
1523,60000
1524,128000
1525,110000
1526,145000
1527,110000
1528,125000
1529,132500
1530,164900
1531,119000
1532,119000
1533,139000
1534,127000
1535,135000
1536,110000
1537,60000
1538,132000
1539,107500
1540,122000
1541,110000
1542,127000
1543,127000
1544,128000
1545,83000
1546,100000
1547,133000
1548,128000
1549,132000
1550,124000
1551,128000
1552,135000
1553,108000
1554,125000
1555,190000
1556,128000
1557,136500
1558,128000
1559,85000
1560,145000
1561,136500
1562,139000
1563,129500
1564,171000
1565,154000
1566,82500
1567,110000
1568,231500
1569,200500
1570,147000
1571,119000
1572,145000
1573,220000
1574,58500
1575,280000
1576,290000
1577,213000
1578,128000
1579,173000
1580,200500
1581,194500
1582,120500
1583,305900
1584,210000
1585,144500
1586,100000
1587,124000
1588,184000
1589,110000
1590,155000
1591,100000
1592,127000
1593,155000
1594,136000
1595,141000
1596,219500
1597,130500
1598,112000
1599,212000
1600,212000
1601,110000
1602,129000
1603,145000
1604,275000
1605,210000
1606,140000
1607,180500
1608,189000
1609,235128
1610,167500
1611,180500
1612,197900
1613,179000
1614,171000
1615,136500
1616,80000
1617,75000
1618,120500
1619,176000
1620,213500
1621,110000
1622,158000
1623,220000
1624,235000
1625,157000
1626,152000
1627,180000
1628,200000
1629,180000
1630,275000
1631,213500
1632,278000
1633,180000
1634,185000
1635,225000
1636,213000
1637,185000
1638,158000
1639,189000
1640,200000
1641,180000
1642,175000
1643,210000
1644,189000
1645,171000
1646,139000
1647,180000
1648,110000
1649,135000
1650,139000
1651,120500
1652,89500
1653,89500
1654,146000
1655,146000
1656,148500
1657,148500
1658,172500
1659,140000
1660,147000
1661,345000
1662,315000
1663,260000
1664,260000
1665,213000
1666,280000
1667,260000
1668,320000
1669,280000
1670,320000
1671,190000
1672,611657
1673,250000
1674,230000
1675,196000
1676,196000
1677,190000
1678,451950
1679,260000
1680,224000
1681,172500
1682,260000
1683,189000
1684,189000
1685,189000
1686,192000
1687,178000
1688,178000
1689,189000
1690,180000
1691,188500
1692,200000
1693,184000
1694,184000
1695,155000
1696,214000
1697,178000
1698,315000
1699,232000
1700,189000
1701,250000
1702,250000
1703,244600
1704,262500
1705,189000
1706,315000
1707,250000
1708,262500
1709,250000
1710,213000
1711,165000
1712,250000
1713,210000
1714,262500
1715,216000
1716,110000
1717,214000
1718,141000
1719,213500
1720,214000
1721,167500
1722,141000
1723,139000
1724,235128
1725,236000
1726,185000
1727,213500
1728,189000
1729,178000
1730,139000
1731,137000
1732,129000
1733,135000
1734,112000
1735,142000
1736,139000
1737,293077
1738,210000
1739,200000
1740,208900
1741,165000
1742,155000
1743,155000
1744,215000
1745,287090
1746,118858
1747,189000
1748,250000
1749,167900
1750,139000
1751,250000
1752,140000
1753,181000
1754,160000
1755,153000
1756,120500
1757,139000
1758,159000
1759,157500
1760,155000
1761,160000
1762,185000
1763,140000
1764,143000
1765,165500
1766,160000
1767,159000
1768,82500
1769,180500
1770,127000
1771,124000
1772,82000
1773,124000
1774,135000
1775,127000
1776,127500
1777,110000
1778,136500
1779,82500
1780,155000
1781,145000
1782,80000
1783,135000
1784,110000
1785,141000
1786,124000
1787,139000
1788,110000
1789,110000
1790,110000
1791,250000
1792,167000
1793,122000
1794,139000
1795,142000
1796,129000
1797,139000
1798,113000
1799,105000
1800,133000
1801,124000
1802,140000
1803,155000
1804,173000
1805,157000
1806,115000
1807,184000
1808,110000
1809,112000
1810,163000
1811,82000
1812,115000
1813,127000
1814,110000
1815,110000
1816,110000
1817,110000
1818,128000
1819,178000
1820,79000
1821,115000
1822,168000
1823,82000
1824,113000
1825,117000
1826,120000
1827,124000
1828,119500
1829,180500
1830,90000
1831,145000
1832,85000
1833,136000
1834,154000
1835,122000
1836,115000
1837,100000
1838,125000
1839,107900
1840,179000
1841,164000
1842,100000
1843,181000
1844,148000
1845,158000
1846,171000
1847,190000
1848,80000
1849,190000
1850,113000
1851,127000
1852,108000
1853,124000
1854,173000
1855,148000
1856,189000
1857,168000
1858,139000
1859,118964
1860,153337
1861,118964
1862,200000
1863,200000
1864,200000
1865,297000
1866,230000
1867,192000
1868,220000
1869,192000
1870,194000
1871,179900
1872,178000
1873,212000
1874,156000
1875,192000
1876,210000
1877,230000
1878,213000
1879,128500
1880,148500
1881,235000
1882,192500
1883,173000
1884,210000
1885,180000
1886,260000
1887,213000
1888,167000
1889,178000
1890,124000
1891,107500
1892,129500
1893,157000
1894,119000
1895,113000
1896,133000
1897,139000
1898,139500
1899,133000
1900,133000
1901,131000
1902,190000
1903,200000
1904,133000
1905,190000
1906,225000
1907,220000
1908,113000
1909,151000
1910,151000
1911,185000
1912,335000
1913,106000
1914,133000
1915,392500
1916,110000
1917,236000
1918,143000
1919,133000
1920,181000
1921,370878
1922,280000
1923,215000
1924,190000
1925,202900
1926,385000
1927,157900
1928,190000
1929,148000
1930,158000
1931,133000
1932,162000
1933,129000
1934,185000
1935,180000
1936,184000
1937,181000
1938,173000
1939,157000
1940,275000
1941,181000
1942,225000
1943,213500
1944,214000
1945,315500
1946,180500
1947,251000
1948,181000
1949,180000
1950,184000
1951,190000
1952,260000
1953,157000
1954,197900
1955,155000
1956,250000
1957,143000
1958,230000
1959,200000
1960,110000
1961,110000
1962,89500
1963,125000
1964,106000
1965,148500
1966,146000
1967,260000
1968,315000
1969,260000
1970,315000
1971,250000
1972,451950
1973,172500
1974,200000
1975,385000
1976,176000
1977,220000
1978,239000
1979,224000
1980,170000
1981,230000
1982,165000
1983,181000
1984,175500
1985,192000
1986,230000
1987,192000
1988,178000
1989,178000
1990,222500
1991,224000
1992,214000
1993,178000
1994,184000
1995,181000
1996,250000
1997,285000
1998,440000
1999,320000
2000,250000
2001,260000
2002,306000
2003,189000
2004,260000
2005,157000
2006,262500
2007,250000
2008,241000
2009,189000
2010,189000
2011,141000
2012,189000
2013,201000
2014,201000
2015,189000
2016,189000
2017,260000
2018,134000
2019,120500
2020,125000
2021,119000
2022,171000
2023,129500
2024,190000
2025,285000
2026,196000
2027,151000
2028,159434
2029,155000
2030,196000
2031,185850
2032,270000
2033,196000
2034,155000
2035,250000
2036,155000
2037,155000
2038,212000
2039,324000
2040,190000
2041,215000
2042,210000
2043,171000
2044,167000
2045,157500
2046,135000
2047,155000
2048,120500
2049,142600
2050,184000
2051,135500
2052,116050
2053,135000
2054,113000
2055,136500
2056,124000
2057,136500
2058,200000
2059,155000
2060,160000
2061,160000
2062,145000
2063,133000
2064,128500
2065,110000
2066,180500
2067,180000
2068,136905
2069,100000
2070,108000
2071,110000
2072,153900
2073,176000
2074,147000
2075,129000
2076,110000
2077,132500
2078,133000
2079,120500
2080,115000
2081,155000
2082,161500
2083,155000
2084,110000
2085,108000
2086,130000
2087,125500
2088,55000
2089,110000
2090,125000
2091,107500
2092,124500
2093,115000
2094,115000
2095,157500
2096,100000
2097,147000
2098,110000
2099,110000
2100,100000
2101,137500
2102,129000
2103,110000
2104,158000
2105,154000
2106,60000
2107,200000
2108,110000
2109,107900
2110,117000
2111,145000
2112,117000
2113,127000
2114,101000
2115,127000
2116,132000
2117,117000
2118,127000
2119,113000
2120,161750
2121,110000
2122,124000
2123,83000
2124,131000
2125,200000
2126,124000
2127,139000
2128,110000
2129,110000
2130,118500
2131,124000
2132,110000
2133,110000
2134,100000
2135,110000
2136,75000
2137,107000
2138,107000
2139,148000
2140,135000
2141,158000
2142,129000
2143,148000
2144,125000
2145,135000
2146,149700
2147,190000
2148,140000
2149,173000
2150,180500
2151,133000
2152,143000
2153,275000
2154,133000
2155,133000
2156,250000
2157,207500
2158,215000
2159,213500
2160,156932
2161,279500
2162,287000
2163,297000
2164,153900
2165,241500
2166,120500
2167,230000
2168,204750
2169,223500
2170,235000
2171,156000
2172,175000
2173,185000
2174,191000
2175,230000
2176,297000
2177,200000
2178,190000
2179,176000
2180,235000
2181,213000
2182,179900
2183,179900
2184,160000
2185,129000
2186,155000
2187,144000
2188,159500
2189,190000
2190,112000
2191,93000
2192,136500
2193,118000
2194,127000
2195,176000
2196,84500
2197,127000
2198,143000
2199,139000
2200,127500
2201,132000
2202,164000
2203,190000
2204,127000
2205,144000
2206,160000
2207,168000
2208,235000
2209,180500
2210,151000
2211,132000
2212,115000
2213,136000
2214,91000
2215,132000
2216,143000
2217,60000
2218,107500
2219,133000
2220,133000
2221,392500
2222,275000
2223,222000
2224,173000
2225,126000
2226,207500
2227,185850
2228,377426
2229,260000
2230,176000
2231,224500
2232,179000
2233,175000
2234,377426
2235,377426
2236,262500
2237,280000
2238,206300
2239,84500
2240,164000
2241,129000
2242,148000
2243,151000
2244,133000
2245,133000
2246,112000
2247,151000
2248,117000
2249,155000
2250,155000
2251,112000
2252,160000
2253,156932
2254,181000
2255,181000
2256,151000
2257,189000
2258,176000
2259,163900
2260,160000
2261,275000
2262,324000
2263,310000
2264,277000
2265,190000
2266,328900
2267,385000
2268,250000
2269,181000
2270,179900
2271,315000
2272,190000
2273,180000
2274,180000
2275,190000
2276,187500
2277,200000
2278,140000
2279,130000
2280,140000
2281,181000
2282,230000
2283,118000
2284,130000
2285,151000
2286,139000
2287,315000
2288,179900
2289,315000
2290,385000
2291,260000
2292,275000
2293,315000
2294,250000
2295,385000
2296,200000
2297,215000
2298,250000
2299,250000
2300,260000
2301,260000
2302,214000
2303,214000
2304,213500
2305,194000
2306,207500
2307,185850
2308,209500
2309,230000
2310,172500
2311,230000
2312,112000
2313,178000
2314,156932
2315,178000
2316,178000
2317,214000
2318,173000
2319,189000
2320,227000
2321,246578
2322,234000
2323,180000
2324,180000
2325,176485
2326,178000
2327,165400
2328,215000
2329,180000
2330,181000
2331,285000
2332,250000
2333,320000
2334,228500
2335,250000
2336,230000
2337,147000
2338,207500
2339,228500
2340,385000
2341,170000
2342,392000
2343,307000
2344,189000
2345,235128
2346,249700
2347,232600
2348,189000
2349,227875
2350,446261
2351,287090
2352,250000
2353,250000
2354,141000
2355,141000
2356,129500
2357,250000
2358,175900
2359,178000
2360,115000
2361,140000
2362,250000
2363,144000
2364,181000
2365,196000
2366,153900
2367,202665
2368,165000
2369,199900
2370,155000
2371,130000
2372,201000
2373,250000
2374,250000
2375,270000
2376,312500
2377,335000
2378,168000
2379,226000
2380,142500
2381,167900
2382,190000
2383,174000
2384,200000
2385,160000
2386,129000
2387,130000
2388,92900
2389,128500
2390,82500
2391,120500
2392,110000
2393,180000
2394,140000
2395,185000
2396,157000
2397,167000
2398,140000
2399,39300
2400,118000
2401,118000
2402,144000
2403,150750
2404,187500
2405,156000
2406,140000
2407,142000
2408,156000
2409,100000
2410,155000
2411,114500
2412,150000
2413,100000
2414,130000
2415,135000
2416,132000
2417,120000
2418,117000
2419,130000
2420,155000
2421,140000
2422,129000
2423,135000
2424,135000
2425,200000
2426,139000
2427,147000
2428,187500
2429,119000
2430,128500
2431,141000
2432,130000
2433,165500
2434,94750
2435,157000
2436,133700
2437,105000
2438,129000
2439,110000
2440,110000
2441,129500
2442,115000
2443,159000
2444,110000
2445,115000
2446,135000
2447,159500
2448,125000
2449,144000
2450,110500
2451,117000
2452,235000
2453,115000
2454,170000
2455,133000
2456,124000
2457,127000
2458,133000
2459,113000
2460,140000
2461,145000
2462,117000
2463,144000
2464,127000
2465,141500
2466,124000
2467,125500
2468,107000
2469,107000
2470,160000
2471,159000
2472,159500
2473,137500
2474,107000
2475,140000
2476,144000
2477,129000
2478,107000
2479,107000
2480,137000
2481,118500
2482,148000
2483,110000
2484,144000
2485,125000
2486,137000
2487,170000
2488,170000
2489,170000
2490,135000
2491,136500
2492,185000
2493,127000
2494,180500
2495,100000
2496,190000
2497,219500
2498,135000
2499,130000
2500,118000
2501,119000
2502,155000
2503,136500
2504,170000
2505,189000
2506,279500
2507,213500
2508,279500
2509,221500
2510,230000
2511,191000
2512,173000
2513,250000
2514,260000
2515,120500
2516,230000
2517,108000
2518,152000
2519,192500
2520,230000
2521,196500
2522,230000
2523,128500
2524,130250
2525,120500
2526,132500
2527,79900
2528,113000
2529,120500
2530,117000
2531,235000
2532,235000
2533,230000
2534,285000
2535,235000
